"Step","bench_unaware_B_s1 - energy","bench_unaware_B_s1 - energy__MIN","bench_unaware_B_s1 - energy__MAX","bench_unaware_A_s1 - energy","bench_unaware_A_s1 - energy__MIN","bench_unaware_A_s1 - energy__MAX","bench_unaware_A_s0 - energy","bench_unaware_A_s0 - energy__MIN","bench_unaware_A_s0 - energy__MAX","bench_aware_A_s2 - energy","bench_aware_A_s2 - energy__MIN","bench_aware_A_s2 - energy__MAX","bench_aware_A_s1 - energy","bench_aware_A_s1 - energy__MIN","bench_aware_A_s1 - energy__MAX","bench_aware_A_s0 - energy","bench_aware_A_s0 - energy__MIN","bench_aware_A_s0 - energy__MAX"
"0","-136.7464212902318","-136.7464212902318","-136.7464212902318","-136.77152946439048","-136.77152946439048","-136.77152946439048","-136.6742116535287","-136.6742116535287","-136.6742116535287","-136.57048752876267","-136.57048752876267","-136.57048752876267","-136.34590245892713","-136.34590245892713","-136.34590245892713","-136.7997033264472","-136.7997033264472","-136.7997033264472"
"1","-136.84894822820104","-136.84894822820104","-136.84894822820104","-136.9937707119894","-136.9937707119894","-136.9937707119894","-136.8125769936878","-136.8125769936878","-136.8125769936878","-128.1721433601095","-128.1721433601095","-128.1721433601095","-140.52179075479285","-140.52179075479285","-140.52179075479285","-140.64334960962333","-140.64334960962333","-140.64334960962333"
"2","-137.41527279255553","-137.41527279255553","-137.41527279255553","-137.2777596555563","-137.2777596555563","-137.2777596555563","-137.05998314474627","-137.05998314474627","-137.05998314474627","-131.9321329581022","-131.9321329581022","-131.9321329581022","-143.28135916291058","-143.28135916291058","-143.28135916291058","-143.8210843105905","-143.8210843105905","-143.8210843105905"
"3","-137.33710965895932","-137.33710965895932","-137.33710965895932","-137.48718749075482","-137.48718749075482","-137.48718749075482","-137.30985909687288","-137.30985909687288","-137.30985909687288","-135.2712334288062","-135.2712334288062","-135.2712334288062","-146.58297922758405","-146.58297922758405","-146.58297922758405","-146.52368234991712","-146.52368234991712","-146.52368234991712"
"4","-137.44015866027866","-137.44015866027866","-137.44015866027866","-137.54661524263724","-137.54661524263724","-137.54661524263724","-137.45112413200295","-137.45112413200295","-137.45112413200295","-138.6098079590546","-138.6098079590546","-138.6098079590546","-150.14563176180013","-150.14563176180013","-150.14563176180013","-149.3840513175047","-149.3840513175047","-149.3840513175047"
"5","-137.74497546614526","-137.74497546614526","-137.74497546614526","-137.64578439190404","-137.64578439190404","-137.64578439190404","-137.51991290282683","-137.51991290282683","-137.51991290282683","-141.73062360008464","-141.73062360008464","-141.73062360008464","-152.45138274303991","-152.45138274303991","-152.45138274303991","-151.90721129163472","-151.90721129163472","-151.90721129163472"
"6","-137.66770098676477","-137.66770098676477","-137.66770098676477","-137.71224094835685","-137.71224094835685","-137.71224094835685","-137.73064446138687","-137.73064446138687","-137.73064446138687","-144.80867925744957","-144.80867925744957","-144.80867925744957","-154.63337427773777","-154.63337427773777","-154.63337427773777","-154.34230826894108","-154.34230826894108","-154.34230826894108"
"7","-137.64553581599765","-137.64553581599765","-137.64553581599765","-137.78235255583584","-137.78235255583584","-137.78235255583584","-137.6610849932927","-137.6610849932927","-137.6610849932927","-147.85405419446462","-147.85405419446462","-147.85405419446462","-156.16627907278723","-156.16627907278723","-156.16627907278723","-155.6379114551383","-155.6379114551383","-155.6379114551383"
"8","-137.50613103687857","-137.50613103687857","-137.50613103687857","-137.60742675627625","-137.60742675627625","-137.60742675627625","-137.57000029666847","-137.57000029666847","-137.57000029666847","-150.19377503362853","-150.19377503362853","-150.19377503362853","-157.35353308881764","-157.35353308881764","-157.35353308881764","-156.495418687102","-156.495418687102","-156.495418687102"
"9","-137.55872769334803","-137.55872769334803","-137.55872769334803","-137.75069437632868","-137.75069437632868","-137.75069437632868","-137.7791317024951","-137.7791317024951","-137.7791317024951","-152.46104745808518","-152.46104745808518","-152.46104745808518","-158.50589416475776","-158.50589416475776","-158.50589416475776","-156.634288903625","-156.634288903625","-156.634288903625"
"10","-137.66238559835742","-137.66238559835742","-137.66238559835742","-137.8360612949656","-137.8360612949656","-137.8360612949656","-137.6733585734081","-137.6733585734081","-137.6733585734081","-154.2753215055152","-154.2753215055152","-154.2753215055152","-159.94129026028162","-159.94129026028162","-159.94129026028162","-158.27662085405547","-158.27662085405547","-158.27662085405547"
"11","-137.62308506455068","-137.62308506455068","-137.62308506455068","-137.53913848447968","-137.53913848447968","-137.53913848447968","-137.6897132596011","-137.6897132596011","-137.6897132596011","-155.8709527636135","-155.8709527636135","-155.8709527636135","-161.20258463807238","-161.20258463807238","-161.20258463807238","-159.6168387694524","-159.6168387694524","-159.6168387694524"
"12","-137.71775267532","-137.71775267532","-137.71775267532","-137.8117319881746","-137.8117319881746","-137.8117319881746","-137.7475621962131","-137.7475621962131","-137.7475621962131","-157.46447391075196","-157.46447391075196","-157.46447391075196","-162.5764043622504","-162.5764043622504","-162.5764043622504","-161.25034984134402","-161.25034984134402","-161.25034984134402"
"13","-137.75877672657327","-137.75877672657327","-137.75877672657327","-138.16966720185897","-138.16966720185897","-138.16966720185897","-137.81850203821847","-137.81850203821847","-137.81850203821847","-158.58467070771195","-158.58467070771195","-158.58467070771195","-163.5176423989","-163.5176423989","-163.5176423989","-162.34531845858803","-162.34531845858803","-162.34531845858803"
"14","-137.7280875357875","-137.7280875357875","-137.7280875357875","-138.56440492993295","-138.56440492993295","-138.56440492993295","-138.22477484618167","-138.22477484618167","-138.22477484618167","-159.71341754820037","-159.71341754820037","-159.71341754820037","-164.55421246459642","-164.55421246459642","-164.55421246459642","-163.49651747982136","-163.49651747982136","-163.49651747982136"
"15","-138.02504981627354","-138.02504981627354","-138.02504981627354","-139.99600682198553","-139.99600682198553","-139.99600682198553","-138.60678520314133","-138.60678520314133","-138.60678520314133","-160.8809128648984","-160.8809128648984","-160.8809128648984","-165.19642491063067","-165.19642491063067","-165.19642491063067","-164.48952423459735","-164.48952423459735","-164.48952423459735"
"16","-137.73007342288804","-137.73007342288804","-137.73007342288804","-141.6471284092366","-141.6471284092366","-141.6471284092366","-139.2827583062646","-139.2827583062646","-139.2827583062646","-162.07723636064088","-162.07723636064088","-162.07723636064088","-166.1484408172422","-166.1484408172422","-166.1484408172422","-165.4761897944025","-165.4761897944025","-165.4761897944025"
"17","-138.0156931143319","-138.0156931143319","-138.0156931143319","-143.79519852257235","-143.79519852257235","-143.79519852257235","-140.6613461330694","-140.6613461330694","-140.6613461330694","-163.10197069093286","-163.10197069093286","-163.10197069093286","-166.53675719237333","-166.53675719237333","-166.53675719237333","-166.1442994676979","-166.1442994676979","-166.1442994676979"
"18","-138.4818087570305","-138.4818087570305","-138.4818087570305","-146.27989735061053","-146.27989735061053","-146.27989735061053","-142.16567920312133","-142.16567920312133","-142.16567920312133","-164.0407092008951","-164.0407092008951","-164.0407092008951","-167.23281135540907","-167.23281135540907","-167.23281135540907","-167.01229920991537","-167.01229920991537","-167.01229920991537"
"19","-139.063423094467","-139.063423094467","-139.063423094467","-147.91793545766404","-147.91793545766404","-147.91793545766404","-144.136725454947","-144.136725454947","-144.136725454947","-164.93667430211008","-164.93667430211008","-164.93667430211008","-167.62846436639674","-167.62846436639674","-167.62846436639674","-167.70495299281998","-167.70495299281998","-167.70495299281998"
"20","-140.7742516012642","-140.7742516012642","-140.7742516012642","-149.74236731707822","-149.74236731707822","-149.74236731707822","-145.7891321834049","-145.7891321834049","-145.7891321834049","-165.67843837803656","-165.67843837803656","-165.67843837803656","-167.9403180981528","-167.9403180981528","-167.9403180981528","-168.2299411572713","-168.2299411572713","-168.2299411572713"
"21","-143.09362742261516","-143.09362742261516","-143.09362742261516","-151.33584845293362","-151.33584845293362","-151.33584845293362","-147.31616904114168","-147.31616904114168","-147.31616904114168","-166.28399525851867","-166.28399525851867","-166.28399525851867","-168.13454704429978","-168.13454704429978","-168.13454704429978","-168.6137484770574","-168.6137484770574","-168.6137484770574"
"22","-145.47327197392127","-145.47327197392127","-145.47327197392127","-152.5715259240274","-152.5715259240274","-152.5715259240274","-148.98254848733725","-148.98254848733725","-148.98254848733725","-166.92952441857486","-166.92952441857486","-166.92952441857486","-168.3364240071813","-168.3364240071813","-168.3364240071813","-169.0919134830367","-169.0919134830367","-169.0919134830367"
"23","-147.8770545767135","-147.8770545767135","-147.8770545767135","-154.1588744852755","-154.1588744852755","-154.1588744852755","-150.934455197504","-150.934455197504","-150.934455197504","-167.5161960713276","-167.5161960713276","-167.5161960713276","-168.6019011519008","-168.6019011519008","-168.6019011519008","-169.43425884258323","-169.43425884258323","-169.43425884258323"
"24","-149.52045705499876","-149.52045705499876","-149.52045705499876","-155.3039460251095","-155.3039460251095","-155.3039460251095","-152.8368475235585","-152.8368475235585","-152.8368475235585","-168.2625559834155","-168.2625559834155","-168.2625559834155","-168.84633620155597","-168.84633620155597","-168.84633620155597","-169.8396577967245","-169.8396577967245","-169.8396577967245"
"25","-152.2672653340026","-152.2672653340026","-152.2672653340026","-156.28010775405758","-156.28010775405758","-156.28010775405758","-154.93965326860786","-154.93965326860786","-154.93965326860786","-168.75017914167557","-168.75017914167557","-168.75017914167557","-169.15613501670765","-169.15613501670765","-169.15613501670765","-170.04465412463537","-170.04465412463537","-170.04465412463537"
"26","-154.21115704208603","-154.21115704208603","-154.21115704208603","-157.21051311969697","-157.21051311969697","-157.21051311969697","-156.95890422733243","-156.95890422733243","-156.95890422733243","-169.22542251706858","-169.22542251706858","-169.22542251706858","-169.51146425844883","-169.51146425844883","-169.51146425844883","-170.27096918344103","-170.27096918344103","-170.27096918344103"
"27","-156.7872544215449","-156.7872544215449","-156.7872544215449","-157.99903061090578","-157.99903061090578","-157.99903061090578","-158.93043172925206","-158.93043172925206","-158.93043172925206","-169.73444939290818","-169.73444939290818","-169.73444939290818","-169.76866991630834","-169.76866991630834","-169.76866991630834","-170.5098295763692","-170.5098295763692","-170.5098295763692"
"28","-158.40057156445002","-158.40057156445002","-158.40057156445002","-158.62494107579005","-158.62494107579005","-158.62494107579005","-160.67992252179778","-160.67992252179778","-160.67992252179778","-170.10435591193433","-170.10435591193433","-170.10435591193433","-170.03367801905262","-170.03367801905262","-170.03367801905262","-170.66329293949462","-170.66329293949462","-170.66329293949462"
"29","-160.0377295786733","-160.0377295786733","-160.0377295786733","-159.5961363196475","-159.5961363196475","-159.5961363196475","-162.05506155671418","-162.05506155671418","-162.05506155671418","-170.466813130753","-170.466813130753","-170.466813130753","-170.33864742112857","-170.33864742112857","-170.33864742112857","-170.84883449530093","-170.84883449530093","-170.84883449530093"
"30","-161.3417589534466","-161.3417589534466","-161.3417589534466","-160.1828381128178","-160.1828381128178","-160.1828381128178","-163.26978553746284","-163.26978553746284","-163.26978553746284","-170.73376359363488","-170.73376359363488","-170.73376359363488","-170.64958366786374","-170.64958366786374","-170.64958366786374","-170.94776883598","-170.94776883598","-170.94776883598"
"31","-162.37305690906587","-162.37305690906587","-162.37305690906587","-161.2295138014624","-161.2295138014624","-161.2295138014624","-164.28342628758742","-164.28342628758742","-164.28342628758742","-171.0291911311813","-171.0291911311813","-171.0291911311813","-170.9649200190657","-170.9649200190657","-170.9649200190657","-171.1858578128844","-171.1858578128844","-171.1858578128844"
"32","-163.4457012832054","-163.4457012832054","-163.4457012832054","-161.65537288592185","-161.65537288592185","-161.65537288592185","-165.33970633696381","-165.33970633696381","-165.33970633696381","-171.15379073387578","-171.15379073387578","-171.15379073387578","-171.13052221204188","-171.13052221204188","-171.13052221204188","-171.45706194905475","-171.45706194905475","-171.45706194905475"
"33","-164.42165071257085","-164.42165071257085","-164.42165071257085","-162.2590504198609","-162.2590504198609","-162.2590504198609","-166.02051276078151","-166.02051276078151","-166.02051276078151","-171.4359150918404","-171.4359150918404","-171.4359150918404","-171.31815125248224","-171.31815125248224","-171.31815125248224","-171.5738279734816","-171.5738279734816","-171.5738279734816"
