"Step","geocnn-4-4-8-8-8-4 - energy","geocnn-4-4-8-8-8-4 - energy__MIN","geocnn-4-4-8-8-8-4 - energy__MAX","geocnn-8-8-8-4-4 - energy","geocnn-8-8-8-4-4 - energy__MIN","geocnn-8-8-8-4-4 - energy__MAX","geocnn-8-8-8 - energy","geocnn-8-8-8 - energy__MIN","geocnn-8-8-8 - energy__MAX","cnn-8_4-4-1 - energy","cnn-8_4-4-1 - energy__MIN","cnn-8_4-4-1 - energy__MAX","cnn-4-4_8-1 - energy","cnn-4-4_8-1 - energy__MIN","cnn-4-4_8-1 - energy__MAX","cnn-4-4_1 - energy","cnn-4-4_1 - energy__MIN","cnn-4-4_1 - energy__MAX","cnn-8-8-8_4-4-1 - energy","cnn-8-8-8_4-4-1 - energy__MIN","cnn-8-8-8_4-4-1 - energy__MAX","cnn-8-8_4-4-1 - energy","cnn-8-8_4-4-1 - energy__MIN","cnn-8-8_4-4-1 - energy__MAX","cnn-4-4_8-8-8-1 - energy","cnn-4-4_8-8-8-1 - energy__MIN","cnn-4-4_8-8-8-1 - energy__MAX","cnn-4-4_8-8-1 - energy","cnn-4-4_8-8-1 - energy__MIN","cnn-4-4_8-8-1 - energy__MAX"
"0","-10.448002977904336","-10.448002977904336","-10.448002977904336","-10.409967650233611","-10.409967650233611","-10.409967650233611","-10.469059449749382","-10.469059449749382","-10.469059449749382","-10.615743968150902","-10.615743968150902","-10.615743968150902","-10.79105600258238","-10.79105600258238","-10.79105600258238","-10.789535539524536","-10.789535539524536","-10.789535539524536","-10.592664336817812","-10.592664336817812","-10.592664336817812","-10.622428637097517","-10.622428637097517","-10.622428637097517","-10.861392720752164","-10.861392720752164","-10.861392720752164","-10.96164109630846","-10.96164109630846","-10.96164109630846"
"1","-10.514550700247968","-10.514550700247968","-10.514550700247968","-10.462592154029732","-10.462592154029732","-10.462592154029732","-10.447111115177538","-10.447111115177538","-10.447111115177538","-11.199323035036532","-11.199323035036532","-11.199323035036532","-11.373207148080011","-11.373207148080011","-11.373207148080011","-11.387667286429068","-11.387667286429068","-11.387667286429068","-11.165904510310606","-11.165904510310606","-11.165904510310606","-11.193523337363356","-11.193523337363356","-11.193523337363356","-11.374556026300654","-11.374556026300654","-11.374556026300654","-11.420099992226142","-11.420099992226142","-11.420099992226142"
"2","-10.4756584029385","-10.4756584029385","-10.4756584029385","-8.788982210137249","-8.788982210137249","-8.788982210137249","-10.75436384178506","-10.75436384178506","-10.75436384178506","-11.340899048968136","-11.340899048968136","-11.340899048968136","-11.811953841278363","-11.811953841278363","-11.811953841278363","-11.809426536312198","-11.809426536312198","-11.809426536312198","-11.457952451853057","-11.457952451853057","-11.457952451853057","-11.41244635522929","-11.41244635522929","-11.41244635522929","-11.651765812457676","-11.651765812457676","-11.651765812457676","-11.433010166101486","-11.433010166101486","-11.433010166101486"
"3","-10.625521090543433","-10.625521090543433","-10.625521090543433","-10.048194167979585","-10.048194167979585","-10.048194167979585","-11.385742376485023","-11.385742376485023","-11.385742376485023","-11.71669602062449","-11.71669602062449","-11.71669602062449","-12.162505375522368","-12.162505375522368","-12.162505375522368","-12.173463963368715","-12.173463963368715","-12.173463963368715","-11.779424011133104","-11.779424011133104","-11.779424011133104","-11.747398826419872","-11.747398826419872","-11.747398826419872","-11.944127698095686","-11.944127698095686","-11.944127698095686","-11.851660243067098","-11.851660243067098","-11.851660243067098"
"4","-11.16748681411046","-11.16748681411046","-11.16748681411046","-11.011459720711489","-11.011459720711489","-11.011459720711489","-11.774465914741967","-11.774465914741967","-11.774465914741967","-11.964874870837612","-11.964874870837612","-11.964874870837612","-12.479832128089235","-12.479832128089235","-12.479832128089235","-12.45578738244528","-12.45578738244528","-12.45578738244528","-11.971473274380998","-11.971473274380998","-11.971473274380998","-11.955477240276672","-11.955477240276672","-11.955477240276672","-12.203295500829345","-12.203295500829345","-12.203295500829345","-12.151210003448334","-12.151210003448334","-12.151210003448334"
"5","-11.61906712664219","-11.61906712664219","-11.61906712664219","-11.606180212048818","-11.606180212048818","-11.606180212048818","-12.118981197434866","-12.118981197434866","-12.118981197434866","-12.031608780173531","-12.031608780173531","-12.031608780173531","-12.66862513397828","-12.66862513397828","-12.66862513397828","-12.675581143077297","-12.675581143077297","-12.675581143077297","-12.229909939735247","-12.229909939735247","-12.229909939735247","-12.099375746076966","-12.099375746076966","-12.099375746076966","-12.46862188147298","-12.46862188147298","-12.46862188147298","-12.434718804758887","-12.434718804758887","-12.434718804758887"
"6","-12.007597610760946","-12.007597610760946","-12.007597610760946","-12.061501741382317","-12.061501741382317","-12.061501741382317","-12.393411520533324","-12.393411520533324","-12.393411520533324","-12.350229570842764","-12.350229570842764","-12.350229570842764","-12.883639776220445","-12.883639776220445","-12.883639776220445","-12.891830395938769","-12.891830395938769","-12.891830395938769","-12.466404821368563","-12.466404821368563","-12.466404821368563","-12.376185283909823","-12.376185283909823","-12.376185283909823","-12.681965549170869","-12.681965549170869","-12.681965549170869","-12.643827761880189","-12.643827761880189","-12.643827761880189"
"7","-12.296498405029618","-12.296498405029618","-12.296498405029618","-12.418052143254124","-12.418052143254124","-12.418052143254124","-12.656741175272872","-12.656741175272872","-12.656741175272872","-12.634422885499742","-12.634422885499742","-12.634422885499742","-13.110469403351813","-13.110469403351813","-13.110469403351813","-13.121560027404335","-13.121560027404335","-13.121560027404335","-12.674995585017635","-12.674995585017635","-12.674995585017635","-12.616293596215542","-12.616293596215542","-12.616293596215542","-12.912874833058101","-12.912874833058101","-12.912874833058101","-12.880537643846187","-12.880537643846187","-12.880537643846187"
"8","-12.521950589274862","-12.521950589274862","-12.521950589274862","-12.655179181194622","-12.655179181194622","-12.655179181194622","-12.837636348923613","-12.837636348923613","-12.837636348923613","-12.852616915351241","-12.852616915351241","-12.852616915351241","-13.281168894783566","-13.281168894783566","-13.281168894783566","-13.276219806846541","-13.276219806846541","-13.276219806846541","-12.881346518109094","-12.881346518109094","-12.881346518109094","-12.832298099054878","-12.832298099054878","-12.832298099054878","-13.087013834227001","-13.087013834227001","-13.087013834227001","-13.068471560823417","-13.068471560823417","-13.068471560823417"
"9","-12.766951335996314","-12.766951335996314","-12.766951335996314","-12.89795903474758","-12.89795903474758","-12.89795903474758","-13.06531078764941","-13.06531078764941","-13.06531078764941","-13.053349257341704","-13.053349257341704","-13.053349257341704","-13.431930762216325","-13.431930762216325","-13.431930762216325","-13.432495279086211","-13.432495279086211","-13.432495279086211","-13.07478534767688","-13.07478534767688","-13.07478534767688","-13.061921729315815","-13.061921729315815","-13.061921729315815","-13.274167190468905","-13.274167190468905","-13.274167190468905","-13.256484935116974","-13.256484935116974","-13.256484935116974"
