"Step","geocnn-4-4-8-8-8-4 - delta","geocnn-4-4-8-8-8-4 - delta__MIN","geocnn-4-4-8-8-8-4 - delta__MAX","geocnn-8-8-8-4-4 - delta","geocnn-8-8-8-4-4 - delta__MIN","geocnn-8-8-8-4-4 - delta__MAX","geocnn-8-8-8 - delta","geocnn-8-8-8 - delta__MIN","geocnn-8-8-8 - delta__MAX","cnn-8_4-4-1 - delta","cnn-8_4-4-1 - delta__MIN","cnn-8_4-4-1 - delta__MAX","cnn-4-4_8-1 - delta","cnn-4-4_8-1 - delta__MIN","cnn-4-4_8-1 - delta__MAX","cnn-4-4_1 - delta","cnn-4-4_1 - delta__MIN","cnn-4-4_1 - delta__MAX","cnn-8-8-8_4-4-1 - delta","cnn-8-8-8_4-4-1 - delta__MIN","cnn-8-8-8_4-4-1 - delta__MAX","cnn-8-8_4-4-1 - delta","cnn-8-8_4-4-1 - delta__MIN","cnn-8-8_4-4-1 - delta__MAX","cnn-4-4_8-8-8-1 - delta","cnn-4-4_8-8-8-1 - delta__MIN","cnn-4-4_8-8-8-1 - delta__MAX","cnn-4-4_8-8-1 - delta","cnn-4-4_8-8-1 - delta__MIN","cnn-4-4_8-8-1 - delta__MAX"
"0","0.2683161807862581","0.2683161807862581","0.2683161807862581","0.27097983180875657","0.27097983180875657","0.27097983180875657","0.2668415755654008","0.2668415755654008","0.2668415755654008","0.25656911595081905","0.25656911595081905","0.25656911595081905","0.2442918435210298","0.2442918435210298","0.2442918435210298","0.2443983230290745","0.2443983230290745","0.2443983230290745","0.2581854050000807","0.2581854050000807","0.2581854050000807","0.2561009820772565","0.2561009820772565","0.2561009820772565","0.23936609467790007","0.23936609467790007","0.23936609467790007","0.23234560335031326","0.23234560335031326","0.23234560335031326"
"1","0.26365577900925447","0.26365577900925447","0.26365577900925447","0.26729448658027566","0.26729448658027566","0.26729448658027566","0.2683786388012048","0.2683786388012048","0.2683786388012048","0.215700505808279","0.215700505808279","0.215700505808279","0.20352323210330983","0.20352323210330983","0.20352323210330983","0.2025105745384171","0.2025105745384171","0.2025105745384171","0.21804083762629875","0.21804083762629875","0.21804083762629875","0.21610666428208197","0.21610666428208197","0.21610666428208197","0.20342876884844463","0.20342876884844463","0.20342876884844463","0.2002392805796388","0.2002392805796388","0.2002392805796388"
"2","0.26637944444977635","0.26637944444977635","0.26637944444977635","0.38449902013669407","0.38449902013669407","0.38449902013669407","0.24686143125987228","0.24686143125987228","0.24686143125987228","0.20578579973462965","0.20578579973462965","0.20578579973462965","0.17279737407803175","0.17279737407803175","0.17279737407803175","0.17297436370503244","0.17297436370503244","0.17297436370503244","0.1975884359842623","0.1975884359842623","0.1975884359842623","0.20077527222900707","0.20077527222900707","0.20077527222900707","0.18401549767234104","0.18401549767234104","0.18401549767234104","0.19933516853566233","0.19933516853566233","0.19933516853566233"
"3","0.25588441455207167","0.25588441455207167","0.25588441455207167","0.29631518094157","0.29631518094157","0.29631518094157","0.20264537785561623","0.20264537785561623","0.20264537785561623","0.1794683719877215","0.1794683719877215","0.1794683719877215","0.14824790888843256","0.14824790888843256","0.14824790888843256","0.14748046831384992","0.14748046831384992","0.14748046831384992","0.17507546974946503","0.17507546974946503","0.17507546974946503","0.17731822461004063","0.17731822461004063","0.17731822461004063","0.16354111021968173","0.16354111021968173","0.16354111021968173","0.17001669610833461","0.17001669610833461","0.17001669610833461"
"4","0.21793002735089187","0.21793002735089187","0.21793002735089187","0.22885675658713073","0.22885675658713073","0.22885675658713073","0.175422690066225","0.175422690066225","0.175422690066225","0.16208816551610777","0.16208816551610777","0.16208816551610777","0.12602520750254614","0.12602520750254614","0.12602520750254614","0.12770908444649406","0.12770908444649406","0.12770908444649406","0.161626072892709","0.161626072892709","0.161626072892709","0.16274629073247018","0.16274629073247018","0.16274629073247018","0.1453913367057931","0.1453913367057931","0.1453913367057931","0.14903893479032757","0.14903893479032757","0.14903893479032757"
"5","0.18630541847073379","0.18630541847073379","0.18630541847073379","0.18720790164455184","0.18720790164455184","0.18720790164455184","0.15129594944877503","0.15129594944877503","0.15129594944877503","0.1574147248827894","0.1574147248827894","0.1574147248827894","0.11280384951845354","0.11280384951845354","0.11280384951845354","0.11231671342988062","0.11231671342988062","0.11231671342988062","0.14352750164123051","0.14352750164123051","0.14352750164123051","0.1526689382924129","0.1526689382924129","0.1526689382924129","0.1268102719857642","0.1268102719857642","0.1268102719857642","0.12918453745120814","0.12918453745120814","0.12918453745120814"
"6","0.1590962504505695","0.1590962504505695","0.1590962504505695","0.15532129170985595","0.15532129170985595","0.15532129170985595","0.1320773267763477","0.1320773267763477","0.1320773267763477","0.13510140074890528","0.13510140074890528","0.13510140074890528","0.09774616481494283","0.09774616481494283","0.09774616481494283","0.09717256774286079","0.09717256774286079","0.09717256774286079","0.1269655348630898","0.1269655348630898","0.1269655348630898","0.1332836968960747","0.1332836968960747","0.1332836968960747","0.11186960725620941","0.11186960725620941","0.11186960725620941","0.11454043362563614","0.11454043362563614","0.11454043362563614"
"7","0.13886424659572516","0.13886424659572516","0.13886424659572516","0.1303517199806482","0.1303517199806482","0.1303517199806482","0.11363609471510691","0.11363609471510691","0.11363609471510691","0.11519906627379212","0.11519906627379212","0.11519906627379212","0.08186106521827345","0.08186106521827345","0.08186106521827345","0.08108437801964084","0.08108437801964084","0.08108437801964084","0.1123577206308166","0.1123577206308166","0.1123577206308166","0.11646867805042994","0.11646867805042994","0.11646867805042994","0.09569880532556051","0.09569880532556051","0.09569880532556051","0.09796341016490435","0.09796341016490435","0.09796341016490435"
"8","0.12307561066525112","0.12307561066525112","0.12307561066525112","0.11374548268093923","0.11374548268093923","0.11374548268093923","0.1009678296108548","0.1009678296108548","0.1009678296108548","0.09991872596100587","0.09991872596100587","0.09991872596100587","0.06990681366486502","0.06990681366486502","0.06990681366486502","0.07025340311081417","0.07025340311081417","0.07025340311081417","0.09790676391286951","0.09790676391286951","0.09790676391286951","0.10134167244571368","0.10134167244571368","0.10134167244571368","0.08350368155704832","0.08350368155704832","0.08350368155704832","0.08480221501359143","0.08480221501359143","0.08480221501359143"
"9","0.10591796987490294","0.10591796987490294","0.10591796987490294","0.09674337320112253","0.09674337320112253","0.09674337320112253","0.08502356703584066","0.08502356703584066","0.08502356703584066","0.08586124464731269","0.08586124464731269","0.08586124464731269","0.05934881332850565","0.05934881332850565","0.05934881332850565","0.05930927966257518","0.05930927966257518","0.05930927966257518","0.08436005437404978","0.08436005437404978","0.08436005437404978","0.08526090609004153","0.08526090609004153","0.08526090609004153","0.07039714983387173","0.07039714983387173","0.07039714983387173","0.07163545538906785","0.07163545538906785","0.07163545538906785"
"10","0.09295656388119555","0.09295656388119555","0.09295656388119555","0.0832642317707846","0.0832642317707846","0.0832642317707846","0.0733040654516342","0.0733040654516342","0.0733040654516342","0.07420488610205137","0.07420488610205137","0.07420488610205137","0.050108330447072684","0.050108330447072684","0.050108330447072684","0.050323285092073","0.050323285092073","0.050323285092073","0.07125015231291829","0.07125015231291829","0.07125015231291829","0.07416392563397824","0.07416392563397824","0.07416392563397824","0.060485836454625526","0.060485836454625526","0.060485836454625526","0.062340467539716636","0.062340467539716636","0.062340467539716636"
"11","0.08044162279744717","0.08044162279744717","0.08044162279744717","0.07034332690188638","0.07034332690188638","0.07034332690188638","0.06234463737337103","0.06234463737337103","0.06234463737337103","0.06316040506979229","0.06316040506979229","0.06316040506979229","0.041700764502355034","0.041700764502355034","0.041700764502355034","0.04183345619015997","0.04183345619015997","0.04183345619015997","0.06055222327142276","0.06055222327142276","0.06055222327142276","0.06320604760206583","0.06320604760206583","0.06320604760206583","0.05103893837103268","0.05103893837103268","0.05103893837103268","0.05056410380540542","0.05056410380540542","0.05056410380540542"
"12","0.06868287421915194","0.06868287421915194","0.06868287421915194","0.05916285070835267","0.05916285070835267","0.05916285070835267","0.05171005003287177","0.05171005003287177","0.05171005003287177","0.051729104857280404","0.051729104857280404","0.051729104857280404","0.034365135981703404","0.034365135981703404","0.034365135981703404","0.03397094567276228","0.03397094567276228","0.03397094567276228","0.04979516780337222","0.04979516780337222","0.04979516780337222","0.05247242203618887","0.05247242203618887","0.05247242203618887","0.0422329212796225","0.0422329212796225","0.0422329212796225","0.043827310889580424","0.043827310889580424","0.043827310889580424"
